date,country_code,country,confirmed,suspected,cured,dead
20200211,CN,中国,44730,16067,4742,1114
20200211,DE,德国,14,0,0,0
20200211,ES,西班牙,2,0,0,0
20200211,FI,芬兰,1,0,1,0
20200211,FR,法国,11,0,0,0
20200211,GB,英国,8,0,0,0
20200211,IN,印度,3,0,0,0
20200211,IT,意大利,3,0,0,0
20200211,JP,日本,163,0,1,0
20200211,KH,柬埔寨,1,0,0,0
20200211,KR,韩国,28,0,3,0
20200211,LK,斯里兰卡,1,0,1,0
20200211,MY,马来西亚,18,0,3,0
20200211,NP,尼泊尔,1,0,0,0
20200211,PH,菲律宾,3,0,1,1
20200211,RU,俄罗斯,2,0,0,0
20200211,SE,瑞典,1,0,0,0
20200211,SG,新加坡,47,0,9,0
20200211,TH,泰国,32,0,10,0
20200211,US,美国,13,0,3,0
20200211,VN,越南,15,0,3,0
20200212,AE,阿联酋,8,0,0,0
20200212,AU,澳大利亚,15,0,5,0
20200212,BE,比利时,1,0,0,0
20200212,CA,加拿大,7,0,1,0
20200212,CN,中国,58839,13435,5646,1260
20200212,DE,德国,16,0,0,0
20200212,ES,西班牙,2,0,0,0
20200212,FI,芬兰,1,0,1,0
20200212,FR,法国,11,0,0,0
20200212,GB,英国,8,0,1,0
20200212,IN,印度,3,0,0,0
20200212,IT,意大利,3,0,0,0
20200212,JP,日本,203,0,1,0
20200212,KH,柬埔寨,1,0,0,0
20200212,KR,韩国,28,0,3,0
20200212,LK,斯里兰卡,1,0,1,0
20200212,MY,马来西亚,18,0,3,0
20200212,NP,尼泊尔,1,0,1,0
20200212,PH,菲律宾,3,0,1,1
20200212,RU,俄罗斯,2,0,2,0
20200212,SE,瑞典,1,0,0,0
20200212,SG,新加坡,50,0,15,0
20200212,TH,泰国,33,0,10,0
20200212,US,美国,13,0,3,0
20200212,VN,越南,15,0,3,0
20200213,AE,阿联酋,8,0,0,0
20200213,AU,澳大利亚,15,0,5,0
20200213,BE,比利时,1,0,0,0
20200213,CA,加拿大,7,0,1,0
20200213,CN,中国,63932,10109,6728,1381
20200213,DE,德国,16,0,1,0
20200213,ES,西班牙,2,0,0,0
20200213,FI,芬兰,1,0,1,0
20200213,FR,法国,11,0,0,0
20200213,GB,英国,9,0,1,0
20200213,IN,印度,3,0,0,0
20200213,IT,意大利,3,0,0,0
20200213,JP,日本,251,0,1,1
20200213,KH,柬埔寨,1,0,0,0
20200213,KR,韩国,28,0,7,0
20200213,LK,斯里兰卡,1,0,1,0
20200213,MY,马来西亚,19,0,3,0
20200213,NP,尼泊尔,1,0,1,0
20200213,PH,菲律宾,3,0,1,1
20200213,RU,俄罗斯,2,0,2,0
20200213,SE,瑞典,1,0,0,0
20200213,SG,新加坡,58,0,15,0
20200213,TH,泰国,33,0,10,0
20200213,US,美国,14,0,3,0
20200213,VN,越南,15,0,5,0
20200214,AE,阿联酋,8,0,3,0
20200214,AU,澳大利亚,15,0,5,0
20200214,BE,比利时,1,0,0,0
20200214,CA,加拿大,7,0,1,0
20200214,CN,中国,66575,8969,8101,1524
20200214,DE,德国,16,0,1,0
20200214,ES,西班牙,2,0,0,0
20200214,FI,芬兰,1,0,1,0
